year,region,10_12_public_science_humanities,10_12_public_technology,10_12_public_artistic,10_12_public_professional_CP,10_12_public_professional_AC,10_12_public_education,10_12_public_vocational,10_12_private_science_humanities,10_12_private_technology,10_12_private_artistic,10_12_private_professional_CP,10_12_private_professional_AC,10_12_private_education,10_12_private_vocational
2020 / 2021,Portugal,186623.0,6.0,2583.0,68035.0,7736.0,331.0,,23061.0,3395.0,79.0,47100.0,10952.0,109.0,
2020 / 2021,Continente,176368.0,6.0,2583.0,65524.0,6558.0,,,22642.0,3395.0,79.0,44061.0,10952.0,,
2020 / 2021,Norte,60894.0,,1044.0,23453.0,1049.0,,,9084.0,,70.0,15547.0,6256.0,,
2020 / 2021,Alto Minho,4238.0,,,1803.0,119.0,,,143.0,,,1047.0,318.0,,
2020 / 2021,Arcos de Valdevez,318.0,,,166.0,,,,0.0,,,85.0,,,
2020 / 2021,Caminha,279.0,,,,,,,0.0,,,,,,
2020 / 2021,Melgaço,120.0,,,73.0,,,,0.0,,,0.0,,,
2020 / 2021,Monção,289.0,,,57.0,,,,0.0,,,181.0,,,
2020 / 2021,Paredes de Coura,107.0,,,,,,,0.0,,,,,,
2020 / 2021,Ponte da Barca,200.0,,,49.0,,,,0.0,,,105.0,,,
2020 / 2021,Ponte de Lima,768.0,,,584.0,,,,0.0,,,108.0,,,
2020 / 2021,Valença,147.0,,,53.0,,,,0.0,,,57.0,,,
2020 / 2021,Viana do Castelo,1850.0,,,821.0,119.0,,,143.0,,,217.0,318.0,,
2020 / 2021,Vila Nova de Cerveira,160.0,,,,,,,0.0,,,,,,
2020 / 2021,Cávado,7903.0,,84.0,2398.0,11.0,,,1482.0,,0.0,2396.0,808.0,,
2020 / 2021,Amares,316.0,,,103.0,,,,0.0,,,0.0,,,
2020 / 2021,Barcelos,1918.0,,21.0,850.0,,,,193.0,,0.0,502.0,,,
2020 / 2021,Braga,4305.0,,63.0,1053.0,11.0,,,1289.0,,0.0,1215.0,432.0,,
2020 / 2021,Esposende,611.0,,,134.0,,,,0.0,,,204.0,,,
2020 / 2021,Terras de Bouro,93.0,,,,,,,0.0,,,,,,
2020 / 2021,Vila Verde,660.0,,,258.0,,,,0.0,,,475.0,,,
2020 / 2021,Ave,7708.0,,,2966.0,,,,220.0,,,1921.0,,,
2020 / 2021,Cabeceiras de Basto,259.0,,,64.0,,,,33.0,,,131.0,,,
2020 / 2021,Fafe,996.0,,,208.0,,,,64.0,,,213.0,,,
2020 / 2021,Guimarães,3080.0,,,1156.0,,,,69.0,,,438.0,,,
2020 / 2021,Mondim de Basto,108.0,,,85.0,,,,0.0,,,0.0,,,
2020 / 2021,Póvoa de Lanhoso,356.0,,,181.0,,,,0.0,,,149.0,,,
2020 / 2021,Vieira do Minho,188.0,,,47.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila Nova de Famalicão,2216.0,,,1048.0,,,,54.0,,,990.0,,,
2020 / 2021,Vizela,505.0,,,177.0,,,,0.0,,,0.0,,,
2020 / 2021,Área Metropolitana do Porto,27355.0,,960.0,9861.0,612.0,,,6673.0,,70.0,8137.0,3691.0,,
2020 / 2021,Arouca,369.0,,,174.0,,,,0.0,,,0.0,,,
2020 / 2021,Espinho,1062.0,,,345.0,,,,0.0,,,417.0,,,
2020 / 2021,Gondomar,2226.0,,,732.0,43.0,,,680.0,,,98.0,225.0,,
2020 / 2021,Maia,2349.0,,,648.0,,,,305.0,,,72.0,,,
2020 / 2021,Matosinhos,2662.0,,,877.0,,,,135.0,,,777.0,,,
2020 / 2021,Oliveira de Azeméis,952.0,,,822.0,,,,0.0,,,0.0,,,
2020 / 2021,Paredes,1462.0,,,382.0,,,,112.0,,,0.0,,,
2020 / 2021,Porto,3917.0,,960.0,1118.0,327.0,,,4033.0,,0.0,3689.0,960.0,,
2020 / 2021,Póvoa de Varzim,1699.0,,,526.0,,,,164.0,,,0.0,,,
2020 / 2021,Santa Maria da Feira,1310.0,,,582.0,13.0,,,297.0,,,257.0,188.0,,
2020 / 2021,Santo Tirso,1169.0,,,748.0,,,,137.0,,,688.0,,,
2020 / 2021,São João da Madeira,967.0,,,397.0,,,,47.0,,,155.0,,,
2020 / 2021,Trofa,499.0,,,172.0,,,,332.0,,,0.0,,,
2020 / 2021,Vale de Cambra,398.0,,,192.0,,,,0.0,,,0.0,,,
2020 / 2021,Valongo,1386.0,,,586.0,,,,85.0,,,179.0,,,
2020 / 2021,Vila do Conde,1101.0,,,611.0,,,,0.0,,,272.0,,,
2020 / 2021,Vila Nova de Gaia,3827.0,,,949.0,229.0,,,346.0,,,1533.0,861.0,,
2020 / 2021,Alto Tâmega,1390.0,,,534.0,30.0,,,0.0,,,214.0,0.0,,
2020 / 2021,Boticas,,,,,,,,,,,,,,
2020 / 2021,Chaves,844.0,,,281.0,30.0,,,0.0,,,214.0,0.0,,
2020 / 2021,Montalegre,122.0,,,49.0,,,,0.0,,,0.0,,,
2020 / 2021,Ribeira de Pena,98.0,,,44.0,,,,0.0,,,0.0,,,
2020 / 2021,Valpaços,150.0,,,77.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila Pouca de Aguiar,176.0,,,83.0,,,,0.0,,,0.0,,,
2020 / 2021,Tâmega e Sousa,7023.0,,,4049.0,,,,526.0,,,904.0,,,
2020 / 2021,Amarante,513.0,,,339.0,,,,299.0,,,307.0,,,
2020 / 2021,Baião,224.0,,,238.0,,,,0.0,,,0.0,,,
2020 / 2021,Castelo de Paiva,333.0,,,134.0,,,,0.0,,,0.0,,,
2020 / 2021,Celorico de Basto,251.0,,,230.0,,,,0.0,,,0.0,,,
2020 / 2021,Cinfães,229.0,,,276.0,,,,0.0,,,46.0,,,
2020 / 2021,Felgueiras,995.0,,,625.0,,,,0.0,,,251.0,,,
2020 / 2021,Lousada,790.0,,,414.0,,,,106.0,,,79.0,,,
2020 / 2021,Marco de Canaveses,1008.0,,,645.0,,,,0.0,,,0.0,,,
2020 / 2021,Paços de Ferreira,1058.0,,,450.0,,,,121.0,,,109.0,,,
2020 / 2021,Penafiel,1439.0,,,577.0,,,,0.0,,,112.0,,,
2020 / 2021,Resende,183.0,,,121.0,,,,0.0,,,0.0,,,
2020 / 2021,Douro,3598.0,,,1244.0,191.0,,,40.0,,,584.0,68.0,,
2020 / 2021,Alijó,154.0,,,61.0,,,,0.0,,,0.0,,,
2020 / 2021,Armamar,113.0,,,,,,,0.0,,,,,,
2020 / 2021,Carrazeda de Ansiães,68.0,,,46.0,,,,0.0,,,0.0,,,
2020 / 2021,Freixo de Espada à Cinta,,,,,,,,,,,,,,
2020 / 2021,Lamego,598.0,,,245.0,,,,40.0,,,20.0,,,
2020 / 2021,Mesão Frio,107.0,,,65.0,,,,0.0,,,0.0,,,
2020 / 2021,Moimenta da Beira,211.0,,,100.0,,,,0.0,,,86.0,,,
2020 / 2021,Murça,99.0,,,24.0,,,,0.0,,,97.0,,,
2020 / 2021,Penedono,,,,,,,,,,,,,,
2020 / 2021,Peso da Régua,332.0,,,294.0,,,,0.0,,,0.0,,,
2020 / 2021,Sabrosa,93.0,,,57.0,,,,0.0,,,0.0,,,
2020 / 2021,Santa Marta de Penaguião,,,,,,,,,,,,,,
2020 / 2021,São João da Pesqueira,114.0,,,,,,,0.0,,,,,,
2020 / 2021,Sernancelhe,,,,,,,,,,,,,,
2020 / 2021,Tabuaço,64.0,,,31.0,,,,0.0,,,0.0,,,
2020 / 2021,Tarouca,122.0,,,49.0,,,,0.0,,,0.0,,,
2020 / 2021,Torre de Moncorvo,98.0,,,33.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila Nova de Foz Côa,80.0,,,,,,,0.0,,,,,,
2020 / 2021,Vila Real,1345.0,,,239.0,191.0,,,0.0,,,179.0,68.0,,
2020 / 2021,Terras de Trás-os-Montes,1679.0,,,598.0,86.0,,,0.0,,,344.0,188.0,,
2020 / 2021,Alfândega da Fé,65.0,,,,,,,0.0,,,,,,
2020 / 2021,Bragança,709.0,,,140.0,86.0,,,0.0,,,189.0,22.0,,
2020 / 2021,Macedo de Cavaleiros,236.0,,,83.0,,,,0.0,,,78.0,,,
2020 / 2021,Miranda do Douro,79.0,,,34.0,,,,0.0,,,0.0,,,
2020 / 2021,Mirandela,342.0,,,251.0,,,,0.0,,,77.0,,,
2020 / 2021,Mogadouro,98.0,,,52.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila Flor,65.0,,,31.0,,,,0.0,,,0.0,,,
2020 / 2021,Vimioso,,,,,,,,,,,,,,
2020 / 2021,Vinhais,85.0,,,7.0,,,,0.0,,,0.0,,,
2020 / 2021,Centro,38940.0,,,14700.0,1536.0,,,2842.0,,,11938.0,1024.0,,
2020 / 2021,Oeste,5879.0,,,2461.0,,,,1139.0,,,2240.0,,,
2020 / 2021,Alcobaça,673.0,,,467.0,,,,291.0,,,220.0,,,
2020 / 2021,Alenquer,795.0,,,268.0,,,,0.0,,,73.0,,,
2020 / 2021,Arruda dos Vinhos,,,,,,,,,,,,,,
2020 / 2021,Bombarral,215.0,,,121.0,,,,0.0,,,0.0,,,
2020 / 2021,Cadaval,153.0,,,7.0,,,,0.0,,,0.0,,,
2020 / 2021,Caldas da Rainha,1243.0,,,524.0,,,,41.0,,,504.0,,,
2020 / 2021,Lourinhã,415.0,,,147.0,,,,0.0,,,0.0,,,
2020 / 2021,Nazaré,126.0,,,,,,,0.0,,,,,,
2020 / 2021,Óbidos,132.0,,,43.0,,,,0.0,,,0.0,,,
2020 / 2021,Peniche,420.0,,,148.0,,,,0.0,,,72.0,,,
2020 / 2021,Sobral de Monte Agraço,187.0,,,54.0,,,,0.0,,,0.0,,,
2020 / 2021,Torres Vedras,1520.0,,,682.0,,,,333.0,,,923.0,,,
2020 / 2021,Região de Aveiro,6336.0,,,2817.0,254.0,,,463.0,,,1590.0,243.0,,
2020 / 2021,Águeda,754.0,,,507.0,72.0,,,0.0,,,0.0,0.0,,
2020 / 2021,Albergaria-a-Velha,271.0,,,195.0,,,,86.0,,,300.0,,,
2020 / 2021,Anadia,425.0,,,206.0,,,,142.0,,,288.0,,,
2020 / 2021,Aveiro,2206.0,,,552.0,182.0,,,0.0,,,511.0,104.0,,
2020 / 2021,Estarreja,342.0,,,376.0,,,,0.0,,,0.0,,,
2020 / 2021,Ílhavo,500.0,,,266.0,,,,0.0,,,0.0,,,
2020 / 2021,Murtosa,118.0,,,,,,,0.0,,,,,,
2020 / 2021,Oliveira do Bairro,370.0,,,67.0,,,,0.0,,,122.0,,,
2020 / 2021,Ovar,872.0,,,334.0,,,,0.0,,,67.0,,,
2020 / 2021,Sever do Vouga,220.0,,,74.0,,,,0.0,,,254.0,,,
2020 / 2021,Vagos,258.0,,,240.0,,,,235.0,,,48.0,,,
2020 / 2021,Região de Coimbra,7536.0,,,2696.0,411.0,,,525.0,,,2069.0,395.0,,
2020 / 2021,Arganil,136.0,,,178.0,131.0,,,0.0,,,0.0,0.0,,
2020 / 2021,Cantanhede,530.0,,,32.0,,,,0.0,,,313.0,,,
2020 / 2021,Coimbra,3170.0,,,1356.0,280.0,,,463.0,,,430.0,395.0,,
2020 / 2021,Condeixa-a-Nova,300.0,,,60.0,,,,0.0,,,0.0,,,
2020 / 2021,Figueira da Foz,1203.0,,,438.0,,,,0.0,,,244.0,,,
2020 / 2021,Góis,,,,,,,,,,,,,,
2020 / 2021,Lousã,272.0,,,65.0,,,,0.0,,,161.0,,,
