year,region,public_university,public_polytechnic,private_university,private_polytechnic
2021 / 2022,Portugal,218399.0,132796.0,56195.0,25827.0
2021 / 2022,Continente,213273.0,131475.0,56195.0,25411.0
2021 / 2022,Norte,62083.0,45492.0,23426.0,13780.0
2021 / 2022,Alto Minho,,5177.0,,
2021 / 2022,Cávado,19901.0,6459.0,906.0,338.0
2021 / 2022,Ave,,,642.0,1592.0
2021 / 2022,Área Metropolitana do Porto,34879.0,21152.0,21878.0,10940.0
2021 / 2022,Alto Tâmega,,,,381.0
2021 / 2022,Tâmega e Sousa,,1828.0,,529.0
2021 / 2022,Douro,7303.0,1152.0,,
2021 / 2022,Terras de Trás-os-Montes,,9724.0,,
2021 / 2022,Centro,43939.0,44473.0,2066.0,1104.0
2021 / 2022,Oeste,,3303.0,,
2021 / 2022,Região de Aveiro,12281.0,3117.0,,397.0
2021 / 2022,Região de Coimbra,23567.0,13246.0,1525.0,
2021 / 2022,Região de Leiria,,9367.0,,467.0
2021 / 2022,Viseu Dão Lafões,,5332.0,541.0,240.0
2021 / 2022,Beira Baixa,,4460.0,,
2021 / 2022,Médio Tejo,,2297.0,,
2021 / 2022,Beiras e Serra da Estrela,8091.0,3351.0,,
2021 / 2022,Área Metropolitana de Lisboa,95128.0,26480.0,30039.0,9502.0
2021 / 2022,Área Metropolitana de Lisboa,95128.0,26480.0,30039.0,9502.0
2021 / 2022,Alentejo,6961.0,10596.0,,749.0
2021 / 2022,Alentejo Litoral,,,,
2021 / 2022,Baixo Alentejo,,3275.0,,
2021 / 2022,Lezíria do Tejo,,4409.0,,749.0
2021 / 2022,Alto Alentejo,,2298.0,,
2021 / 2022,Alentejo Central,6961.0,614.0,,
2021 / 2022,Algarve,5162.0,4434.0,664.0,276.0
2021 / 2022,Algarve,5162.0,4434.0,664.0,276.0
2021 / 2022,Região Autónoma dos Açores,2481.0,430.0,,
2021 / 2022,Região Autónoma dos Açores,2481.0,430.0,,
2021 / 2022,Região Autónoma dos Açores,2481.0,430.0,,
2021 / 2022,Região Autónoma da Madeira,2645.0,891.0,,416.0
2021 / 2022,Região Autónoma da Madeira,2645.0,891.0,,416.0
2021 / 2022,Região Autónoma da Madeira,2645.0,891.0,,416.0
2020 / 2021,Portugal,208227.0,126912.0,53072.0,23784.0
2020 / 2021,Continente,203413.0,125801.0,53072.0,23293.0
2020 / 2021,Norte,57648.0,43163.0,22966.0,13231.0
2020 / 2021,Alto Minho,,4880.0,132.0,
2020 / 2021,Cávado,18695.0,6118.0,930.0,282.0
2020 / 2021,Ave,,,668.0,1525.0
2020 / 2021,Área Metropolitana do Porto,32092.0,20222.0,21236.0,10815.0
2020 / 2021,Alto Tâmega,,,,339.0
2020 / 2021,Tâmega e Sousa,,1825.0,,270.0
2020 / 2021,Douro,6861.0,1125.0,,
2020 / 2021,Terras de Trás-os-Montes,,8993.0,,
2020 / 2021,Centro,42386.0,42969.0,1930.0,884.0
2020 / 2021,Oeste,,3034.0,,
2020 / 2021,Região de Aveiro,11611.0,2974.0,,356.0
2020 / 2021,Região de Coimbra,22924.0,12852.0,1438.0,
2020 / 2021,Região de Leiria,,8732.0,,336.0
2020 / 2021,Viseu Dão Lafões,,5240.0,492.0,192.0
2020 / 2021,Beira Baixa,,4474.0,,
2020 / 2021,Médio Tejo,,2343.0,,
2020 / 2021,Beiras e Serra da Estrela,7851.0,3320.0,,
2020 / 2021,Área Metropolitana de Lisboa,91831.0,25396.0,27657.0,8265.0
2020 / 2021,Área Metropolitana de Lisboa,91831.0,25396.0,27657.0,8265.0
2020 / 2021,Alentejo,6925.0,10017.0,,698.0
2020 / 2021,Alentejo Litoral,,,,
2020 / 2021,Baixo Alentejo,,3193.0,,
2020 / 2021,Lezíria do Tejo,,4074.0,,698.0
2020 / 2021,Alto Alentejo,,2149.0,,
2020 / 2021,Alentejo Central,6925.0,601.0,,
2020 / 2021,Algarve,4623.0,4256.0,519.0,215.0
2020 / 2021,Algarve,4623.0,4256.0,519.0,215.0
2020 / 2021,Região Autónoma dos Açores,2298.0,397.0,,
2020 / 2021,Região Autónoma dos Açores,2298.0,397.0,,
2020 / 2021,Região Autónoma dos Açores,2298.0,397.0,,
2020 / 2021,Região Autónoma da Madeira,2516.0,714.0,,491.0
2020 / 2021,Região Autónoma da Madeira,2516.0,714.0,,491.0
2020 / 2021,Região Autónoma da Madeira,2516.0,714.0,,491.0
2019 / 2020,Portugal,202188.0,121566.0,51272.0,21883.0
2019 / 2020,Continente,197577.0,120669.0,51272.0,21412.0
2019 / 2020,Norte,56921.0,40414.0,22100.0,12307.0
2019 / 2020,Alto Minho,,4451.0,139.0,4.0
2019 / 2020,Cávado,18487.0,5154.0,988.0,244.0
2019 / 2020,Ave,,,661.0,1265.0
2019 / 2020,Área Metropolitana do Porto,31779.0,19340.0,20312.0,10271.0
2019 / 2020,Alto Tâmega,,,,283.0
2019 / 2020,Tâmega e Sousa,,1603.0,,240.0
2019 / 2020,Douro,6655.0,1075.0,,
2019 / 2020,Terras de Trás-os-Montes,,8791.0,,
2019 / 2020,Centro,41344.0,41857.0,1831.0,789.0
2019 / 2020,Oeste,,3021.0,,
2019 / 2020,Região de Aveiro,10938.0,2806.0,,360.0
2019 / 2020,Região de Coimbra,22537.0,12638.0,1286.0,
2019 / 2020,Região de Leiria,,8213.0,,286.0
2019 / 2020,Viseu Dão Lafões,,4983.0,545.0,143.0
2019 / 2020,Beira Baixa,,4395.0,,
2019 / 2020,Médio Tejo,,2254.0,,
2019 / 2020,Beiras e Serra da Estrela,7869.0,3547.0,,
2019 / 2020,Área Metropolitana de Lisboa,88261.0,24464.0,26910.0,7530.0
2019 / 2020,Área Metropolitana de Lisboa,88261.0,24464.0,26910.0,7530.0
2019 / 2020,Alentejo,6594.0,9948.0,,630.0
2019 / 2020,Alentejo Litoral,,,,
2019 / 2020,Baixo Alentejo,,3124.0,,
2019 / 2020,Lezíria do Tejo,,4051.0,,630.0
2019 / 2020,Alto Alentejo,,2137.0,,
2019 / 2020,Alentejo Central,6594.0,636.0,,
2019 / 2020,Algarve,4457.0,3986.0,431.0,156.0
2019 / 2020,Algarve,4457.0,3986.0,431.0,156.0
2019 / 2020,Região Autónoma dos Açores,2217.0,409.0,,
2019 / 2020,Região Autónoma dos Açores,2217.0,409.0,,
2019 / 2020,Região Autónoma dos Açores,2217.0,409.0,,
2019 / 2020,Região Autónoma da Madeira,2394.0,488.0,,471.0
2019 / 2020,Região Autónoma da Madeira,2394.0,488.0,,471.0
2019 / 2020,Região Autónoma da Madeira,2394.0,488.0,,471.0
2018 / 2019,Portugal,199388.0,116801.0,48479.0,20579.0
2018 / 2019,Continente,194625.0,116010.0,48479.0,20069.0
2018 / 2019,Norte,55232.0,38916.0,20922.0,11243.0
2018 / 2019,Alto Minho,,4203.0,140.0,11.0
2018 / 2019,Cávado,17867.0,4847.0,895.0,195.0
2018 / 2019,Ave,,,635.0,1114.0
2018 / 2019,Área Metropolitana do Porto,31362.0,19079.0,19252.0,9472.0
2018 / 2019,Alto Tâmega,,,,246.0
2018 / 2019,Tâmega e Sousa,,1471.0,,205.0
2018 / 2019,Douro,6003.0,967.0,,
2018 / 2019,Terras de Trás-os-Montes,,8349.0,,
2018 / 2019,Centro,40055.0,39978.0,1726.0,680.0
2018 / 2019,Oeste,,2999.0,,37.0
2018 / 2019,Região de Aveiro,10478.0,2735.0,,234.0
2018 / 2019,Região de Coimbra,22145.0,12587.0,1227.0,
2018 / 2019,Região de Leiria,,8130.0,,283.0
2018 / 2019,Viseu Dão Lafões,,4487.0,499.0,126.0
2018 / 2019,Beira Baixa,,4107.0,,
2018 / 2019,Médio Tejo,,2067.0,,
2018 / 2019,Beiras e Serra da Estrela,7432.0,2866.0,,
2018 / 2019,Área Metropolitana de Lisboa,88653.0,23899.0,25481.0,7561.0
2018 / 2019,Área Metropolitana de Lisboa,88653.0,23899.0,25481.0,7561.0
2018 / 2019,Alentejo,6358.0,9280.0,,440.0
2018 / 2019,Alentejo Litoral,,,,
2018 / 2019,Baixo Alentejo,,2721.0,,
2018 / 2019,Lezíria do Tejo,,3840.0,,440.0
2018 / 2019,Alto Alentejo,,2130.0,,
2018 / 2019,Alentejo Central,6358.0,589.0,,
2018 / 2019,Algarve,4327.0,3937.0,350.0,145.0
2018 / 2019,Algarve,4327.0,3937.0,350.0,145.0
2018 / 2019,Região Autónoma dos Açores,2405.0,422.0,,
2018 / 2019,Região Autónoma dos Açores,2405.0,422.0,,
2018 / 2019,Região Autónoma dos Açores,2405.0,422.0,,
2018 / 2019,Região Autónoma da Madeira,2358.0,369.0,,510.0
2018 / 2019,Região Autónoma da Madeira,2358.0,369.0,,510.0
2018 / 2019,Região Autónoma da Madeira,2358.0,369.0,,510.0
2017 / 2018,Portugal,195199.0,113290.0,46036.0,18228.0
2017 / 2018,Continente,190417.0,112604.0,46036.0,17721.0
2017 / 2018,Norte,54185.0,37116.0,19779.0,9849.0
2017 / 2018,Alto Minho,,4144.0,144.0,21.0
2017 / 2018,Cávado,17535.0,4476.0,985.0,150.0
2017 / 2018,Ave,,,627.0,1008.0
2017 / 2018,Área Metropolitana do Porto,30670.0,18917.0,18023.0,8320.0
2017 / 2018,Alto Tâmega,,,,189.0
2017 / 2018,Tâmega e Sousa,,1434.0,,161.0
2017 / 2018,Douro,5980.0,916.0,,
2017 / 2018,Terras de Trás-os-Montes,,7229.0,,
2017 / 2018,Centro,39350.0,39238.0,1679.0,607.0
