year,region,kindergarten_public,kindergarten_private,1-4_gr_public,1_4_gr_private,5_6_gr_public,5_6_gr_private,7_9_gr_public,7_9_gr_private,10_12_gr_public,10_12_gr_private,professional_certification_public,professional_certification_private
2020 / 2021,Portugal,135372.0,115688.0,322736.0,50373.0,185020.0,25044.0,301866.0,41003.0,297933.0,95756.0,4855.0,33.0
2020 / 2021,Continente,128029.0,110589.0,306605.0,47173.0,175285.0,24232.0,284977.0,39758.0,281657.0,92202.0,4855.0,33.0
2020 / 2021,Norte,47662.0,34890.0,105095.0,13873.0,61718.0,7550.0,101157.0,13356.0,94125.0,40280.0,1064.0,
2020 / 2021,Alto Minho,3408.0,1612.0,6684.0,273.0,3859.0,168.0,6227.0,432.0,6449.0,1879.0,79.0,
2020 / 2021,Arcos de Valdevez,188.0,179.0,529.0,,270.0,2.0,492.0,19.0,494.0,186.0,,
2020 / 2021,Caminha,221.0,108.0,461.0,,251.0,6.0,376.0,31.0,279.0,142.0,,
2020 / 2021,Melgaço,62.0,49.0,167.0,,120.0,,136.0,,193.0,,,
2020 / 2021,Monção,238.0,95.0,388.0,,257.0,1.0,424.0,23.0,359.0,219.0,,
2020 / 2021,Paredes de Coura,70.0,89.0,234.0,,144.0,,230.0,14.0,107.0,142.0,,
2020 / 2021,Ponte da Barca,157.0,53.0,325.0,1.0,163.0,17.0,292.0,28.0,249.0,135.0,,
2020 / 2021,Ponte de Lima,862.0,53.0,1266.0,3.0,736.0,2.0,1210.0,41.0,1360.0,217.0,,
2020 / 2021,Valença,318.0,,432.0,,231.0,,358.0,,224.0,57.0,,
2020 / 2021,Viana do Castelo,1133.0,955.0,2596.0,269.0,1526.0,140.0,2419.0,276.0,3024.0,742.0,79.0,
2020 / 2021,Vila Nova de Cerveira,159.0,31.0,286.0,,161.0,,290.0,,160.0,39.0,,
2020 / 2021,Cávado,6099.0,4538.0,12643.0,2250.0,7172.0,1250.0,11887.0,2005.0,11064.0,5443.0,,
2020 / 2021,Amares,340.0,38.0,529.0,,337.0,,506.0,,425.0,75.0,,
2020 / 2021,Barcelos,2068.0,603.0,3625.0,171.0,1935.0,224.0,3164.0,407.0,2848.0,1307.0,,
2020 / 2021,Braga,2224.0,3220.0,5594.0,1970.0,3306.0,1005.0,5638.0,1462.0,5929.0,3241.0,,
2020 / 2021,Esposende,507.0,407.0,1302.0,,673.0,,1077.0,27.0,818.0,219.0,,
2020 / 2021,Terras de Bouro,99.0,33.0,166.0,,89.0,,191.0,,93.0,,,
2020 / 2021,Vila Verde,861.0,237.0,1427.0,109.0,832.0,21.0,1311.0,109.0,951.0,601.0,,
2020 / 2021,Ave,4796.0,5199.0,12626.0,829.0,7135.0,416.0,11634.0,882.0,11489.0,2655.0,,
2020 / 2021,Cabeceiras de Basto,262.0,98.0,512.0,,282.0,12.0,520.0,40.0,323.0,269.0,,
2020 / 2021,Fafe,464.0,664.0,1389.0,124.0,838.0,66.0,1296.0,164.0,1212.0,394.0,,
2020 / 2021,Guimarães,1608.0,2236.0,4614.0,404.0,2506.0,204.0,4254.0,385.0,4490.0,607.0,,
2020 / 2021,Mondim de Basto,66.0,48.0,170.0,,108.0,,170.0,,193.0,,,
2020 / 2021,Póvoa de Lanhoso,362.0,97.0,724.0,,465.0,,657.0,33.0,569.0,164.0,,
2020 / 2021,Vieira do Minho,176.0,19.0,311.0,,179.0,,294.0,,247.0,,,
2020 / 2021,Vila Nova de Famalicão,1387.0,1917.0,4110.0,301.0,2294.0,134.0,3690.0,235.0,3663.0,1062.0,,
2020 / 2021,Vizela,471.0,120.0,796.0,,463.0,,753.0,25.0,792.0,159.0,,
2020 / 2021,Área Metropolitana do Porto,21786.0,18857.0,50508.0,9237.0,30093.0,4687.0,48939.0,7950.0,42820.0,23635.0,874.0,
2020 / 2021,Arouca,374.0,94.0,737.0,,434.0,,700.0,20.0,543.0,75.0,,
2020 / 2021,Espinho,610.0,226.0,1055.0,,747.0,42.0,1368.0,208.0,1417.0,583.0,,
2020 / 2021,Gondomar,2123.0,1217.0,4249.0,665.0,2440.0,351.0,3940.0,514.0,3289.0,1134.0,,
2020 / 2021,Maia,1688.0,1644.0,4291.0,530.0,2581.0,298.0,4044.0,329.0,3141.0,654.0,97.0,
2020 / 2021,Matosinhos,1900.0,2076.0,4925.0,807.0,2949.0,180.0,4932.0,504.0,3956.0,1350.0,,
2020 / 2021,Oliveira de Azeméis,779.0,570.0,1872.0,106.0,1076.0,,1692.0,,1899.0,,,
2020 / 2021,Paredes,1495.0,357.0,2631.0,218.0,1660.0,201.0,2668.0,211.0,1919.0,498.0,,
2020 / 2021,Porto,1823.0,4939.0,5997.0,4095.0,3609.0,2154.0,6035.0,3498.0,7225.0,9572.0,452.0,
2020 / 2021,Póvoa de Varzim,504.0,1022.0,2122.0,224.0,1410.0,129.0,2317.0,146.0,2486.0,442.0,,
2020 / 2021,Santa Maria da Feira,1916.0,1215.0,3958.0,338.0,2140.0,246.0,3487.0,322.0,2501.0,881.0,26.0,
2020 / 2021,Santo Tirso,867.0,489.0,1763.0,345.0,1185.0,153.0,1903.0,309.0,2028.0,825.0,,
2020 / 2021,São João da Madeira,469.0,309.0,1123.0,111.0,684.0,38.0,1131.0,67.0,1594.0,263.0,299.0,
2020 / 2021,Trofa,631.0,168.0,1078.0,77.0,630.0,43.0,1024.0,136.0,744.0,437.0,,
2020 / 2021,Vale de Cambra,404.0,49.0,657.0,,354.0,,556.0,,609.0,37.0,,
2020 / 2021,Valongo,1408.0,691.0,2716.0,328.0,1642.0,152.0,2850.0,327.0,2033.0,691.0,,
2020 / 2021,Vila do Conde,1224.0,763.0,2592.0,110.0,1441.0,22.0,2267.0,60.0,1775.0,382.0,,
2020 / 2021,Vila Nova de Gaia,3571.0,3028.0,8742.0,1283.0,5111.0,678.0,8025.0,1299.0,5661.0,5811.0,,
2020 / 2021,Alto Tâmega,918.0,554.0,1978.0,141.0,1223.0,,2094.0,16.0,2291.0,250.0,,
2020 / 2021,Boticas,48.0,34.0,110.0,,76.0,,101.0,,,,,
2020 / 2021,Chaves,388.0,296.0,918.0,141.0,624.0,,1014.0,1.0,1334.0,250.0,,
2020 / 2021,Montalegre,134.0,,195.0,,93.0,,192.0,,171.0,,,
2020 / 2021,Ribeira de Pena,62.0,57.0,174.0,,77.0,,172.0,,142.0,,,
2020 / 2021,Valpaços,123.0,117.0,318.0,,177.0,,365.0,,304.0,,,
2020 / 2021,Vila Pouca de Aguiar,163.0,50.0,263.0,,176.0,,250.0,15.0,340.0,,,
2020 / 2021,Tâmega e Sousa,7114.0,2031.0,13053.0,737.0,7661.0,726.0,12921.0,1483.0,11982.0,4215.0,,
2020 / 2021,Amarante,756.0,292.0,1510.0,185.0,654.0,352.0,1083.0,540.0,939.0,1372.0,,
2020 / 2021,Baião,123.0,170.0,500.0,,272.0,,483.0,,477.0,,,
2020 / 2021,Castelo de Paiva,255.0,89.0,528.0,,312.0,76.0,537.0,120.0,467.0,250.0,,
2020 / 2021,Celorico de Basto,294.0,25.0,496.0,,272.0,,498.0,,519.0,,,
2020 / 2021,Cinfães,309.0,,547.0,,301.0,,498.0,,550.0,63.0,,
2020 / 2021,Felgueiras,877.0,399.0,1723.0,135.0,1080.0,5.0,1931.0,55.0,1844.0,428.0,,
2020 / 2021,Lousada,949.0,225.0,1563.0,172.0,932.0,112.0,1530.0,159.0,1370.0,208.0,,
2020 / 2021,Marco de Canaveses,1066.0,82.0,1668.0,,1064.0,,1697.0,11.0,1750.0,87.0,,
2020 / 2021,Paços de Ferreira,946.0,378.0,1868.0,165.0,1206.0,119.0,1970.0,288.0,1589.0,639.0,,
2020 / 2021,Penafiel,1344.0,335.0,2359.0,80.0,1389.0,62.0,2390.0,310.0,2164.0,1150.0,,
2020 / 2021,Resende,195.0,36.0,291.0,,179.0,,304.0,,313.0,18.0,,
