year,region,proportion_STEM_higher_ed
2021 / 2022,Portugal,29.1
2021 / 2022,Continente,29.2
2021 / 2022,Norte,30.8
2021 / 2022,Alto Minho,27.9
2021 / 2022,Arcos de Valdevez,
2021 / 2022,Caminha,
2021 / 2022,Melgaço,
2021 / 2022,Monção,
2021 / 2022,Paredes de Coura,
2021 / 2022,Ponte da Barca,
2021 / 2022,Ponte de Lima,22.6
2021 / 2022,Valença,
2021 / 2022,Viana do Castelo,36.6
2021 / 2022,Vila Nova de Cerveira,
2021 / 2022,Cávado,41.7
2021 / 2022,Amares,
2021 / 2022,Barcelos,23.7
2021 / 2022,Braga,45.5
2021 / 2022,Esposende,
2021 / 2022,Terras de Bouro,
2021 / 2022,Vila Verde,
2021 / 2022,Ave,12.0
2021 / 2022,Cabeceiras de Basto,
2021 / 2022,Fafe,10.1
2021 / 2022,Guimarães,
2021 / 2022,Mondim de Basto,
2021 / 2022,Póvoa de Lanhoso,
2021 / 2022,Vieira do Minho,
2021 / 2022,Vila Nova de Famalicão,12.7
2021 / 2022,Vizela,
2021 / 2022,Área Metropolitana do Porto,28.7
2021 / 2022,Arouca,
2021 / 2022,Espinho,
2021 / 2022,Gondomar,
2021 / 2022,Maia,6.8
2021 / 2022,Matosinhos,1.2
2021 / 2022,Oliveira de Azeméis,28.8
2021 / 2022,Paredes,10.7
2021 / 2022,Porto,35.2
2021 / 2022,Póvoa de Varzim,
2021 / 2022,Santa Maria da Feira,19.7
2021 / 2022,Santo Tirso,
2021 / 2022,São João da Madeira,
2021 / 2022,Trofa,
2021 / 2022,Vale de Cambra,
2021 / 2022,Valongo,
2021 / 2022,Vila do Conde,8.3
2021 / 2022,Vila Nova de Gaia,15.8
2021 / 2022,Alto Tâmega,
2021 / 2022,Boticas,
2021 / 2022,Chaves,
2021 / 2022,Montalegre,
2021 / 2022,Ribeira de Pena,
2021 / 2022,Valpaços,
2021 / 2022,Vila Pouca de Aguiar,
2021 / 2022,Tâmega e Sousa,30.8
2021 / 2022,Amarante,
2021 / 2022,Baião,
2021 / 2022,Castelo de Paiva,
2021 / 2022,Celorico de Basto,
2021 / 2022,Cinfães,
2021 / 2022,Felgueiras,39.8
2021 / 2022,Lousada,
2021 / 2022,Marco de Canaveses,
2021 / 2022,Paços de Ferreira,
2021 / 2022,Penafiel,
2021 / 2022,Resende,
2021 / 2022,Douro,31.2
2021 / 2022,Alijó,
2021 / 2022,Armamar,
2021 / 2022,Carrazeda de Ansiães,
2021 / 2022,Freixo de Espada à Cinta,
2021 / 2022,Lamego,13.8
2021 / 2022,Mesão Frio,
2021 / 2022,Moimenta da Beira,
2021 / 2022,Murça,
2021 / 2022,Penedono,
2021 / 2022,Peso da Régua,
2021 / 2022,Sabrosa,
2021 / 2022,Santa Marta de Penaguião,
2021 / 2022,São João da Pesqueira,
2021 / 2022,Sernancelhe,
2021 / 2022,Tabuaço,
2021 / 2022,Tarouca,
2021 / 2022,Torre de Moncorvo,
2021 / 2022,Vila Nova de Foz Côa,
2021 / 2022,Vila Real,32.4
2021 / 2022,Terras de Trás-os-Montes,26.7
2021 / 2022,Alfândega da Fé,
2021 / 2022,Bragança,31.3
2021 / 2022,Macedo de Cavaleiros,
2021 / 2022,Miranda do Douro,
2021 / 2022,Mirandela,7.3
2021 / 2022,Mogadouro,
2021 / 2022,Vila Flor,
2021 / 2022,Vimioso,
2021 / 2022,Vinhais,
2021 / 2022,Centro,32.1
2021 / 2022,Oeste,12.3
2021 / 2022,Alcobaça,
2021 / 2022,Alenquer,
2021 / 2022,Arruda dos Vinhos,
2021 / 2022,Bombarral,
2021 / 2022,Cadaval,
2021 / 2022,Caldas da Rainha,
2021 / 2022,Lourinhã,
2021 / 2022,Nazaré,
2021 / 2022,Óbidos,
2021 / 2022,Peniche,25.8
2021 / 2022,Sobral de Monte Agraço,
2021 / 2022,Torres Vedras,
2021 / 2022,Região de Aveiro,49.3
2021 / 2022,Águeda,47.4
2021 / 2022,Albergaria-a-Velha,
2021 / 2022,Anadia,
2021 / 2022,Aveiro,49.4
2021 / 2022,Estarreja,
2021 / 2022,Ílhavo,
2021 / 2022,Murtosa,
2021 / 2022,Oliveira do Bairro,
2021 / 2022,Ovar,
2021 / 2022,Sever do Vouga,
2021 / 2022,Vagos,
2021 / 2022,Região de Coimbra,29.2
2021 / 2022,Arganil,
2021 / 2022,Cantanhede,
2021 / 2022,Coimbra,29.2
2021 / 2022,Condeixa-a-Nova,
2021 / 2022,Figueira da Foz,
2021 / 2022,Góis,
2021 / 2022,Lousã,
2021 / 2022,Mealhada,
2021 / 2022,Mira,
2021 / 2022,Miranda do Corvo,
2021 / 2022,Montemor-o-Velho,
2021 / 2022,Mortágua,
2021 / 2022,Oliveira do Hospital,31.5
2021 / 2022,Pampilhosa da Serra,
2021 / 2022,Penacova,
2021 / 2022,Penela,
2021 / 2022,Soure,
2021 / 2022,Tábua,
2021 / 2022,Vila Nova de Poiares,
2021 / 2022,Região de Leiria,35.3
2021 / 2022,Alvaiázere,
2021 / 2022,Ansião,
2021 / 2022,Batalha,
2021 / 2022,Castanheira de Pêra,
2021 / 2022,Figueiró dos Vinhos,
2021 / 2022,Leiria,35.4
2021 / 2022,Marinha Grande,34.0
2021 / 2022,Pedrógão Grande,
2021 / 2022,Pombal,
2021 / 2022,Porto de Mós,
2021 / 2022,Viseu Dão Lafões,22.1
2021 / 2022,Aguiar da Beira,
2021 / 2022,Carregal do Sal,
2021 / 2022,Castro Daire,
2021 / 2022,Mangualde,
2021 / 2022,Nelas,
2021 / 2022,Oliveira de Frades,
2021 / 2022,Penalva do Castelo,
2021 / 2022,Santa Comba Dão,
2021 / 2022,São Pedro do Sul,
2021 / 2022,Sátão,
2021 / 2022,Tondela,
2021 / 2022,Vila Nova de Paiva,
2021 / 2022,Viseu,22.1
2021 / 2022,Vouzela,
2021 / 2022,Beira Baixa,21.4
2021 / 2022,Castelo Branco,24.4
2021 / 2022,Idanha-a-Nova,
2021 / 2022,Oleiros,
2021 / 2022,Penamacor,
2021 / 2022,Proença-a-Nova,
2021 / 2022,Vila Velha de Ródão,
2021 / 2022,Médio Tejo,32.8
2021 / 2022,Abrantes,45.8
2021 / 2022,Alcanena,
2021 / 2022,Constância,
2021 / 2022,Entroncamento,
2021 / 2022,Ferreira do Zêzere,
2021 / 2022,Mação,
2021 / 2022,Ourém,
2021 / 2022,Sardoal,
2021 / 2022,Sertã,
2021 / 2022,Tomar,30.0
2021 / 2022,Torres Novas,
2021 / 2022,Vila de Rei,
2021 / 2022,Vila Nova da Barquinha,
2021 / 2022,Beiras e Serra da Estrela,30.1
2021 / 2022,Almeida,
2021 / 2022,Belmonte,
2021 / 2022,Celorico da Beira,
2021 / 2022,Covilhã,34.9
2021 / 2022,Figueira de Castelo Rodrigo,
2021 / 2022,Fornos de Algodres,
2021 / 2022,Fundão,
2021 / 2022,Gouveia,
2021 / 2022,Guarda,19.9
2021 / 2022,Manteigas,
2021 / 2022,Mêda,
2021 / 2022,Pinhel,
2021 / 2022,Sabugal,
2021 / 2022,Seia,
2021 / 2022,Trancoso,
2021 / 2022,Área Metropolitana de Lisboa,27.6
2021 / 2022,Área Metropolitana de Lisboa,27.6
2021 / 2022,Alcochete,
2021 / 2022,Almada,66.8
2021 / 2022,Amadora,
2021 / 2022,Barreiro,100.0
2021 / 2022,Cascais,
2021 / 2022,Lisboa,24.3
2021 / 2022,Loures,
2021 / 2022,Mafra,
2021 / 2022,Moita,
2021 / 2022,Montijo,
2021 / 2022,Odivelas,
2021 / 2022,Oeiras,43.6
2021 / 2022,Palmela,
2021 / 2022,Seixal,
2021 / 2022,Sesimbra,
2021 / 2022,Setúbal,40.6
2021 / 2022,Sintra,31.0
2021 / 2022,Vila Franca de Xira,
2021 / 2022,Alentejo,17.4
2021 / 2022,Alentejo Litoral,
2021 / 2022,Alcácer do Sal,
2021 / 2022,Grândola,
2021 / 2022,Odemira,
2021 / 2022,Santiago do Cacém,
2021 / 2022,Sines,
2021 / 2022,Baixo Alentejo,19.7
2021 / 2022,Aljustrel,
2021 / 2022,Almodôvar,
2021 / 2022,Alvito,
2021 / 2022,Barrancos,
2021 / 2022,Beja,19.7
2021 / 2022,Castro Verde,
2021 / 2022,Cuba,
2021 / 2022,Ferreira do Alentejo,
2021 / 2022,Mértola,
2021 / 2022,Moura,
2021 / 2022,Ourique,
2021 / 2022,Serpa,
2021 / 2022,Vidigueira,
2021 / 2022,Lezíria do Tejo,8.5
2021 / 2022,Almeirim,
2021 / 2022,Alpiarça,
2021 / 2022,Azambuja,
2021 / 2022,Benavente,
2021 / 2022,Cartaxo,
2021 / 2022,Chamusca,
2021 / 2022,Coruche,
2021 / 2022,Golegã,
2021 / 2022,Rio Maior,
2021 / 2022,Salvaterra de Magos,
2021 / 2022,Santarém,10.8
2021 / 2022,Alto Alentejo,7.1
2021 / 2022,Alter do Chão,
2021 / 2022,Arronches,
2021 / 2022,Avis,
2021 / 2022,Campo Maior,
2021 / 2022,Castelo de Vide,
2021 / 2022,Crato,
2021 / 2022,Elvas,
2021 / 2022,Fronteira,
