year,region,1_4_gr_students_per_computer,5_6_gr_students_per_computer,7_9_gr_students_per_computer,10_12_gr_students_per_computer
2020 / 2021,Portugal,,,,
2020 / 2021,Continente,1.9,1.7,1.9,2.2
2020 / 2021,Norte,1.8,1.6,1.8,2.0
2020 / 2021,Alto Minho,1.9,1.5,1.5,1.8
2020 / 2021,Arcos de Valdevez,1.9,1.5,1.5,1.3
2020 / 2021,Caminha,1.9,1.6,1.6,1.5
2020 / 2021,Melgaço,2.2,2.4,2.3,2.9
2020 / 2021,Monção,1.4,1.6,1.6,1.5
2020 / 2021,Paredes de Coura,2.5,0.9,1.0,1.5
2020 / 2021,Ponte da Barca,1.7,1.5,1.4,2.0
2020 / 2021,Ponte de Lima,1.9,1.3,1.3,2.3
2020 / 2021,Valença,2.3,1.6,2.2,1.9
2020 / 2021,Viana do Castelo,2.0,1.5,1.6,1.8
2020 / 2021,Vila Nova de Cerveira,1.4,1.6,1.6,1.5
2020 / 2021,Cávado,1.8,1.7,1.8,2.0
2020 / 2021,Amares,1.6,1.6,1.6,1.4
2020 / 2021,Barcelos,1.5,1.6,1.7,2.2
2020 / 2021,Braga,2.2,1.9,2.0,2.7
2020 / 2021,Esposende,1.3,1.5,1.5,1.7
2020 / 2021,Terras de Bouro,0.9,0.7,0.7,0.8
2020 / 2021,Vila Verde,1.7,1.3,1.3,0.9
2020 / 2021,Ave,1.7,1.6,1.7,1.8
2020 / 2021,Cabeceiras de Basto,1.3,1.3,1.3,2.1
2020 / 2021,Fafe,1.6,1.6,1.7,1.9
2020 / 2021,Guimarães,2.0,1.5,1.6,1.9
2020 / 2021,Mondim de Basto,0.9,0.9,1.0,1.0
2020 / 2021,Póvoa de Lanhoso,1.2,1.4,1.4,1.5
2020 / 2021,Vieira do Minho,1.4,1.4,2.3,1.5
2020 / 2021,Vila Nova de Famalicão,2.0,1.9,2.0,1.9
2020 / 2021,Vizela,1.3,1.7,2.0,1.9
2020 / 2021,Área Metropolitana do Porto,1.9,1.8,2.0,2.3
2020 / 2021,Arouca,2.0,1.6,1.8,2.1
2020 / 2021,Espinho,2.4,2.1,3.2,3.0
2020 / 2021,Gondomar,1.5,2.0,2.1,2.3
2020 / 2021,Maia,2.5,2.2,2.7,2.9
